brand,category,name,volume,price,highMockupPrice,imglink
Bizim,çorba,Mutfakkarabuğdayçorbası,"102,5g",5.15₺,7.15₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025380/05025380-6d474b.jpg
Knorr,çorba,Camkavanozişkembe,480 ml,16.95₺,18.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06052203/06052203-52afe1.JPG
Bizim,çorba,Mutfakkinoalımercimek,"102,5 g",5.15₺,7.15₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025379/05025379-228df0.jpg
Zel,çorba,Iliklikemiksulu,480 ml,19.50₺,21.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025363/zel-ilikli-kemik-sulu-kelle-paca-corbasi-480-ml-0430e2.jpg
Bizim,çorba,Mutfakmaşçorbası,"132,5 g",5.15₺,9.15₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025372/05025372-802504.jpg
Aptamil,çorba,Mekremalıdomates,415 g,7.95₺,8.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020056/05020056-7d0070.jpg
Tat,çorba,Gurmekremalışehriyeli,420 g,7.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020053/05020053-d0eccd.jpg
Bizim,çorba,Mutfakmercimekçorbası,65 g,3.10₺,5.1₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025020/05025020-1dba36.jpg
Bizim,çorba,Mutfakkemiksuyuna,72 g,4.55₺,6.55₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020086/05020086-0c4339.jpg
Tat,çorba,Gurmekremalısebze,420 g,7.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020054/05020054-4b9a84.jpg
Tat,çorba,Gurmekremalımantar,420 g,7.95₺,10.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020055/05020055-528110.jpg
Knorr,çorba,Dövmebuğdaylıdomates,95 g,4.95₺,7.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020075/05020075-75dfca.jpg
Bizim,çorba ve bulyonlar,Mutfaketsuyu,24 adet,8.15₺,11.15₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06052136/06052136-365b4f.jpg
Zel,çorba ve bulyonlar,Tavuksuyu,480 ml,11.95₺,15.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020070/05020070-2b6a8b.jpg
Arı,"bar, kaplamalılar",Fındıklıkrokan,40 g,6.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07086110/ari-findikli-krokan-40-gr-7daca2.jpg
Pd Foods,"bar, kaplamalılar",Limonlukakaoluve,30 g,3.95₺,4.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07199952/07199952-8a9825.jpg
Miskos,"bar, kaplamalılar",Yerfıstıklıkrokan,35 g,2.70₺,4.7₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07080576/07080576-72e3c6.jpg
Loacker,gofret,Granpasticceriabitter,100 g,38.95₺,40.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07168056/loacker-gran-pasticceria-bitter-orange-100-gr-90bef5.jpg
Miskos,"bar, kaplamalılar",Susamlıkrokan,35 g,2.70₺,4.7₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07080577/07080577-715dd8.jpg
Lindt,çikolata,Lindorextradark,100 g,30.95₺,31.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07045200/07045200-efb351.jpg
Lindt,"bar, kaplamalılar",Riegelnocciolattebar,40 g,15.50₺,17.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07046110/lindt-riegel-nocciolatte-bar-40g-a3d6c1.jpg
Lindt,çikolata,Darkçikolata,300 g,78.00₺,81.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07045302/lindt-dark-cikolata-300-gr-a4de7b.jpg
Reyondan,kuru meyve,,usu kg,90.00₺,92.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08089880/08089880-e6b12f.jpg
Ritter Sport,çikolata,Darkwholehazelnut,100 g,22.95₺,25.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07041154/ritter-sport-dark-whole-hazelnut-100-gr-850c5b.jpg
Lindt,çikolata,Bademlisütlüçikolata,100 g,32.95₺,33.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07041020/07041020-f1195d.jpg
Anadolu Lezzetleri,kuruyemiş,Yusufelicevizli-Fındıklı,250 g,18.50₺,19.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07099126/07099126-8348e4.jpg
Lindt,çikolata,Excellencemintintense,100 g,30.95₺,34.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07039700/lindt-excellence-mint-intense-cikolata-100-gr-0d5a53.jpg
Koska,şekerleme,Meyvelilokumdraje,300 g,18.75₺,22.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07099110/07099110-7bb8ec.jpg
Lati Lokum,şekerleme,Rmabisküviarası,36g,1.85₺,6.85₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07087087/07087087-ac4f23.jpg
Godiva,çikolata,Masterpiecesbitterçikolata,30 g,4.25₺,9.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07049000/07049000-6e69d7.jpg
Eti,çikolata,Ahenkbolsütlü,60 g,4.25₺,6.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07036375/07036375-11eb6b.jpg
Massara,bisküvi,Ballısusamlıçıtır,200 g,30.95₺,31.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05065064/05065064-e47073.jpg
Hacı Şeker,şekerleme,Bonibondraje,110 g,9.75₺,13.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/08080025/08080025-d7d83e.jpg
Lindt,çikolata,Excellencedark,70 çikolata 35 g,13.25₺,15.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/07039750/lindt-excellence-dark-70-cikolata-35-gr-c8a572.jpg
Anneden,hazır yemek,Erikhoşafı,580 g,9.25₺,13.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062157/anneden-erik-hosafi-580-g-de499a.jpg
Anneden,hazır yemek,Üzümhoşafı,580 g,9.95₺,10.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062155/anneden-uzum-hosafi-580-g-dbc74b.jpg
Tada,hazır yemek,Etlikurufasulye,250 g,16.95₺,20.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062169/09062169-ef834b.jpg
Tada,hazır yemek,Düğünçorbası,220 g,11.95₺,14.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062200/09062200-99a30e.jpg
Tada,hazır yemek,Ankaratava,220 g,18.95₺,20.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062199/09062199-dbd98e.jpg
Tada,hazır yemek,Etdönerdürüm,150 g,12.95₺,14.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19009848/19009848-4d6f2d.jpg
Migros,hazır yemek,Evlezzetleriyoğurtlu,280 g,14.95₺,18.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19009824/19009824-3f0cd5.jpg
Tada,hazır yemek,Salsasoslutavuk,200 g,18.95₺,21.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062171/09062171-b78909.jpg
Tada,hazır yemek,Tereyağlıçayelifasulyesi,250 g,11.95₺,12.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062172/09062172-e366fc.jpg
Yayla,hazır yemek,Yemekhazırfirikli,250 g,7.50₺,10.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112136/9112136-3eab3b.jpg
Migros,hazır yemek,Evlezzetleriızgara,180 g,17.50₺,19.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19009838/19009838-af4fdd.jpg
Migros,hazır yemek,Evlezzetleribulgur,200 g,5.50₺,6.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19009843/19009843-9681a2.jpg
Migros,hazır yemek,Evlezzetleriızgara,290 g,16.50₺,20.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19009837/19009837-733070.jpg
Migros,hazır yemek,Evlezzetlerikarnıyarık,250 g,14.50₺,19.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19009835/19009835-bfce3d.jpg
Tada,hazır yemek,Tavuklufajitadürüm,155 g,11.95₺,12.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19009846/19009846-bfa403.jpg
Migros,hazır yemek,Evlezzetleriezogelin,360 g,5.50₺,7.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19009840/19009840-03f3f4.jpg
Tada,hazır yemek,Etlinohut,250 g,16.95₺,20.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062170/09062170-b18708.jpg
Tat,hazır yemek,Fasulyepilaki,400 g,5.78₺,9.78₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09062106/tat-fasulye-pilaki-400-gr-829669.jpg
Yayla,hazır yemek,Yemekhazırkremalı,250 g,5.00₺,7.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112140/9112140-5f459b.jpg
Yayla,hazır yemek,Yemekhazıryayla,250 g,3.80₺,6.8₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/9112141/9112141-d88ea2.jpg
Viru,konserve,Enginarkalbi,660 ml,43.50₺,48.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09031870/viru-enginar-kalbi-720-ml-4dca9f.jpg
Demko,salça,Soyulmuşdomates,800 g,10.95₺,14.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09012611/demko-soyulmus-domates-800-gr-7dda95.jpg
Talia,konserve,Giardinera(Karışıkturşu),450 g,19.90₺,22.9₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09100090/09100090-35893c.jpg
Ipek,salça,Angolddomates,4250 g,31.00₺,33.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09011212/09011212-ab4a46.jpg
Berrak,konserve,Karışıkturşu,720 g,8.75₺,11.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16200305/berrak-karisik-tursu-720-gr-ffe866.jpg
Melis,konserve,Renklibiberturşusu,680 g,11.95₺,12.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09035735/09035735-699008.jpg
Reyondan,konserve,, turşusu kg,24.00₺,25.0₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/19000346/biberiye-tursusu-kg-576efb.jpg
Melis,konserve,Közlenmişbiber,680 g,11.75₺,14.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09035471/melis-kozlenmis-biber-680-gr-b38d3c.jpg
Tat,konserve,Uskumrufiletopilaki,160 g,11.96₺,15.96₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09050859/09050859-0fec65.jpg
Berrak,konserve,Biberiyeturşusu,370 g,9.25₺,14.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16200460/berrak-biberiye-tursusu-370-gr-e46432.jpg
Berrak,konserve,Zenginkarışıkturşu,980 ml,15.50₺,20.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/16200954/berrak-zengin-karisik-tursu-1062-ml-60b926.jpg
Dolco,konserve,Meksikafasulyesi,400 g,12.50₺,16.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/09032351/dolco-meksika-fasulyesi-400-gr-bae9cd.jpg
